onset	duration	run_number	trial_number	image_blank_size	image_blank_num
19644.16128	32.0090064	9	73	2	43
19676.35768	31.9952051	9	74	1	5
19708.50253	31.9953756	9	75	2	55
19740.65577	31.9961034	9	76	1	26
19772.82705	31.9995205	9	77	1	12
19804.95536	31.998359	9	78	2	76
19837.09257	31.9955504	9	79	1	73
19869.21313	31.9967382	9	80	2	41
19901.34205	29.99589	9	81	1	59
